poi_id,poi_name,poi_category,poi_subcategory,city,district,latitude,longitude,poi_weight,visitor_potential,h3_index,data_source
POI_JKT_001,Shop House Jakarta 1,Commercial,Shop House,Jakarta,Menteng,-6.21221,106.853333,0.47,Medium,H3_JKT_016,Dummy OSM/POI proxy
POI_JKT_002,Hospital Jakarta 2,Health,Hospital,Jakarta,Menteng,-6.214216,106.834994,0.5,Medium,H3_JKT_012,Dummy OSM/POI proxy
POI_JKT_003,Training Center Jakarta 3,Education,Training Center,Jakarta,Cengkareng,-6.143367,106.749095,0.57,High,H3_JKT_019,Dummy OSM/POI proxy
POI_JKT_004,Apartment Jakarta 4,Residential,Apartment,Jakarta,Kebayoran Baru,-6.226965,106.789893,0.88,Medium,H3_JKT_014,Dummy OSM/POI proxy
POI_JKT_005,Bus Stop Jakarta 5,Transportation,Bus Stop,Jakarta,Kembangan,-6.221014,106.710184,0.54,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_006,Gas Station Jakarta 6,Fuel & Mobility,Gas Station,Jakarta,Cilandak,-6.323662,106.802659,0.87,High,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_007,University Jakarta 7,Education,University,Jakarta,Pasar Minggu,-6.283363,106.852128,0.98,Low,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_008,School Jakarta 8,Education,School,Jakarta,Menteng,-6.197822,106.811363,1.0,High,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_009,Parking Area Jakarta 9,Fuel & Mobility,Parking Area,Jakarta,Menteng,-6.208323,106.820591,0.87,Low,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_010,Shop House Jakarta 10,Commercial,Shop House,Jakarta,Kebayoran Baru,-6.247431,106.799579,0.95,Low,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_011,Public Service Office Jakarta 11,Public Service,Public Service Office,Jakarta,Kelapa Gading,-6.162997,106.900479,0.72,High,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_012,Apartment Jakarta 12,Residential,Apartment,Jakarta,Pasar Minggu,-6.263083,106.843039,0.42,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_013,Shop House Jakarta 13,Commercial,Shop House,Jakarta,Menteng,-6.193951,106.818159,0.78,High,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_014,Mall Jakarta 14,Commercial,Mall,Jakarta,Pasar Minggu,-6.291955,106.840118,0.75,High,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_015,University Jakarta 15,Education,University,Jakarta,Kebayoran Baru,-6.25264,106.803499,0.66,Medium,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_016,Shop House Jakarta 16,Commercial,Shop House,Jakarta,Cilandak,-6.30868,106.798181,0.53,Medium,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_017,Station Jakarta 17,Transportation,Station,Jakarta,Menteng,-6.193082,106.820679,0.55,High,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_018,Parking Area Jakarta 18,Fuel & Mobility,Parking Area,Jakarta,Duren Sawit,-6.224088,106.924504,0.77,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_019,Clinic Jakarta 19,Health,Clinic,Jakarta,Duren Sawit,-6.223906,106.908207,0.91,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_020,Gas Station Jakarta 20,Fuel & Mobility,Gas Station,Jakarta,Kembangan,-6.219284,106.748943,0.44,High,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_021,Mall Jakarta 21,Commercial,Mall,Jakarta,Cilandak,-6.30678,106.813453,0.89,Low,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_022,Shop House Jakarta 22,Commercial,Shop House,Jakarta,Pasar Minggu,-6.284394,106.850125,0.89,High,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_023,Station Jakarta 23,Transportation,Station,Jakarta,Kebayoran Baru,-6.253815,106.80122,0.67,Medium,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_024,Housing Complex Jakarta 24,Residential,Housing Complex,Jakarta,Kelapa Gading,-6.163601,106.911102,0.46,Medium,H3_JKT_006,Dummy OSM/POI proxy
POI_JKT_025,Gas Station Jakarta 25,Fuel & Mobility,Gas Station,Jakarta,Pasar Minggu,-6.299223,106.862176,0.46,High,H3_JKT_024,Dummy OSM/POI proxy
POI_JKT_026,Apartment Jakarta 26,Residential,Apartment,Jakarta,Pasar Minggu,-6.275384,106.83933,0.52,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_027,Training Center Jakarta 27,Education,Training Center,Jakarta,Kembangan,-6.203418,106.743067,0.77,High,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_028,University Jakarta 28,Education,University,Jakarta,Kelapa Gading,-6.176756,106.889221,0.81,High,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_029,Clinic Jakarta 29,Health,Clinic,Jakarta,Menteng,-6.196627,106.81794,0.49,Medium,H3_JKT_021,Dummy OSM/POI proxy
POI_JKT_030,Office Center Jakarta 30,Commercial,Office Center,Jakarta,Pasar Minggu,-6.2789,106.815937,1.0,Medium,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_031,Terminal Jakarta 31,Transportation,Terminal,Jakarta,Kembangan,-6.218925,106.721045,0.66,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_032,Bus Stop Jakarta 32,Transportation,Bus Stop,Jakarta,Kebayoran Baru,-6.254959,106.800338,0.93,Medium,H3_JKT_009,Dummy OSM/POI proxy
POI_JKT_033,School Jakarta 33,Education,School,Jakarta,Pasar Minggu,-6.286953,106.825867,0.87,High,H3_JKT_007,Dummy OSM/POI proxy
POI_JKT_034,Terminal Jakarta 34,Transportation,Terminal,Jakarta,Kebayoran Baru,-6.251074,106.806324,0.67,Medium,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_035,Housing Complex Jakarta 35,Residential,Housing Complex,Jakarta,Kebayoran Baru,-6.255526,106.791945,0.81,High,H3_JKT_009,Dummy OSM/POI proxy
POI_JKT_036,Pharmacy Jakarta 36,Health,Pharmacy,Jakarta,Cilandak,-6.295817,106.805426,0.76,Medium,H3_JKT_027,Dummy OSM/POI proxy
POI_JKT_037,Housing Complex Jakarta 37,Residential,Housing Complex,Jakarta,Duren Sawit,-6.259637,106.915649,0.9,High,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_038,Clinic Jakarta 38,Health,Clinic,Jakarta,Kelapa Gading,-6.155622,106.917335,0.88,Low,H3_JKT_006,Dummy OSM/POI proxy
POI_JKT_039,Apartment Jakarta 39,Residential,Apartment,Jakarta,Pasar Minggu,-6.277532,106.820507,0.92,Medium,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_040,Housing Complex Jakarta 40,Residential,Housing Complex,Jakarta,Kelapa Gading,-6.165927,106.903256,0.9,Medium,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_041,Workshop Jakarta 41,Fuel & Mobility,Workshop,Jakarta,Pasar Minggu,-6.290357,106.850694,0.66,Low,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_042,Training Center Jakarta 42,Education,Training Center,Jakarta,Kembangan,-6.220329,106.745748,0.39,Low,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_043,Housing Complex Jakarta 43,Residential,Housing Complex,Jakarta,Menteng,-6.210775,106.816042,0.94,Medium,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_044,Mall Jakarta 44,Commercial,Mall,Jakarta,Menteng,-6.202965,106.805011,0.76,Low,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_045,Station Jakarta 45,Transportation,Station,Jakarta,Duren Sawit,-6.226724,106.91712,0.85,High,H3_JKT_011,Dummy OSM/POI proxy
POI_JKT_046,School Jakarta 46,Education,School,Jakarta,Pasar Minggu,-6.265559,106.851194,0.63,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_047,Market Jakarta 47,Commercial,Market,Jakarta,Menteng,-6.228031,106.847211,0.97,Medium,H3_JKT_016,Dummy OSM/POI proxy
POI_JKT_048,Gas Station Jakarta 48,Fuel & Mobility,Gas Station,Jakarta,Pasar Minggu,-6.269415,106.846607,0.83,Low,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_049,Parking Area Jakarta 49,Fuel & Mobility,Parking Area,Jakarta,Menteng,-6.198722,106.843051,0.73,Low,H3_JKT_023,Dummy OSM/POI proxy
POI_JKT_050,Parking Area Jakarta 50,Fuel & Mobility,Parking Area,Jakarta,Cilandak,-6.272186,106.792926,0.69,High,H3_JKT_003,Dummy OSM/POI proxy
POI_JKT_051,Mall Jakarta 51,Commercial,Mall,Jakarta,Duren Sawit,-6.229902,106.926684,0.58,Low,H3_JKT_011,Dummy OSM/POI proxy
POI_JKT_052,Housing Complex Jakarta 52,Residential,Housing Complex,Jakarta,Kelapa Gading,-6.154597,106.914505,0.99,Low,H3_JKT_006,Dummy OSM/POI proxy
POI_JKT_053,Training Center Jakarta 53,Education,Training Center,Jakarta,Pasar Minggu,-6.295133,106.861395,0.77,Low,H3_JKT_024,Dummy OSM/POI proxy
POI_JKT_054,Parking Area Jakarta 54,Fuel & Mobility,Parking Area,Jakarta,Kebayoran Baru,-6.250827,106.796967,0.74,Low,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_055,School Jakarta 55,Education,School,Jakarta,Pasar Minggu,-6.275431,106.817194,0.64,Low,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_056,Pharmacy Jakarta 56,Health,Pharmacy,Jakarta,Kembangan,-6.211779,106.719712,0.76,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_057,Terminal Jakarta 57,Transportation,Terminal,Jakarta,Kebayoran Baru,-6.224419,106.792628,0.81,Medium,H3_JKT_014,Dummy OSM/POI proxy
POI_JKT_058,Apartment Jakarta 58,Residential,Apartment,Jakarta,Cilandak,-6.295879,106.824617,0.67,High,H3_JKT_027,Dummy OSM/POI proxy
POI_JKT_059,Workshop Jakarta 59,Fuel & Mobility,Workshop,Jakarta,Pasar Minggu,-6.290155,106.831316,0.62,Low,H3_JKT_007,Dummy OSM/POI proxy
POI_JKT_060,Mall Jakarta 60,Commercial,Mall,Jakarta,Pasar Minggu,-6.285644,106.848376,0.5,Low,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_061,School Jakarta 61,Education,School,Jakarta,Pasar Minggu,-6.273719,106.808633,0.45,Low,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_062,Market Jakarta 62,Commercial,Market,Jakarta,Pasar Minggu,-6.262828,106.841687,0.65,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_063,Market Jakarta 63,Commercial,Market,Jakarta,Kebayoran Baru,-6.249574,106.77964,0.9,Medium,H3_JKT_009,Dummy OSM/POI proxy
POI_JKT_064,Bus Stop Jakarta 64,Transportation,Bus Stop,Jakarta,Kelapa Gading,-6.165788,106.895586,0.84,Low,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_065,Workshop Jakarta 65,Fuel & Mobility,Workshop,Jakarta,Cilandak,-6.283718,106.794229,0.93,High,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_066,Gas Station Jakarta 66,Fuel & Mobility,Gas Station,Jakarta,Kebayoran Baru,-6.258125,106.79485,0.42,Medium,H3_JKT_009,Dummy OSM/POI proxy
POI_JKT_067,Clinic Jakarta 67,Health,Clinic,Jakarta,Duren Sawit,-6.225853,106.911958,0.62,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_068,Training Center Jakarta 68,Education,Training Center,Jakarta,Kembangan,-6.198402,106.746729,0.45,Medium,H3_JKT_004,Dummy OSM/POI proxy
POI_JKT_069,Office Center Jakarta 69,Commercial,Office Center,Jakarta,Duren Sawit,-6.2456,106.921508,0.58,Low,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_070,Terminal Jakarta 70,Transportation,Terminal,Jakarta,Menteng,-6.194203,106.820894,0.95,Low,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_071,Market Jakarta 71,Commercial,Market,Jakarta,Cilandak,-6.302706,106.806221,0.36,High,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_072,Workshop Jakarta 72,Fuel & Mobility,Workshop,Jakarta,Kembangan,-6.217312,106.738114,0.97,Medium,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_073,Market Jakarta 73,Commercial,Market,Jakarta,Kembangan,-6.225427,106.746286,0.66,High,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_074,Station Jakarta 74,Transportation,Station,Jakarta,Pasar Minggu,-6.274201,106.809805,0.99,Low,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_075,Station Jakarta 75,Transportation,Station,Jakarta,Cilandak,-6.287244,106.79827,0.67,Low,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_076,Public Service Office Jakarta 76,Public Service,Public Service Office,Jakarta,Cilandak,-6.277553,106.810906,0.38,Low,H3_JKT_003,Dummy OSM/POI proxy
POI_JKT_077,Bus Stop Jakarta 77,Transportation,Bus Stop,Jakarta,Kembangan,-6.216072,106.709905,0.64,High,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_078,University Jakarta 78,Education,University,Jakarta,Duren Sawit,-6.226181,106.919305,0.67,High,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_079,University Jakarta 79,Education,University,Jakarta,Cilandak,-6.273112,106.800197,0.89,High,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_080,Terminal Jakarta 80,Transportation,Terminal,Jakarta,Pasar Minggu,-6.299509,106.833478,0.65,Medium,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_081,Gas Station Jakarta 81,Fuel & Mobility,Gas Station,Jakarta,Menteng,-6.210646,106.823836,0.85,High,H3_JKT_012,Dummy OSM/POI proxy
POI_JKT_082,Public Service Office Jakarta 82,Public Service,Public Service Office,Jakarta,Menteng,-6.219158,106.846373,0.84,Low,H3_JKT_016,Dummy OSM/POI proxy
POI_JKT_083,Shop House Jakarta 83,Commercial,Shop House,Jakarta,Cilandak,-6.286042,106.796792,0.42,Low,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_084,Training Center Jakarta 84,Education,Training Center,Jakarta,Menteng,-6.218821,106.843109,0.52,Low,H3_JKT_016,Dummy OSM/POI proxy
POI_JKT_085,University Jakarta 85,Education,University,Jakarta,Pasar Minggu,-6.293322,106.843199,0.47,Medium,H3_JKT_007,Dummy OSM/POI proxy
POI_JKT_086,Government Office Jakarta 86,Public Service,Government Office,Jakarta,Kembangan,-6.201535,106.736476,0.73,Medium,H3_JKT_004,Dummy OSM/POI proxy
POI_JKT_087,Terminal Jakarta 87,Transportation,Terminal,Jakarta,Duren Sawit,-6.218654,106.923599,0.69,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_088,Housing Complex Jakarta 88,Residential,Housing Complex,Jakarta,Kembangan,-6.207768,106.707339,0.94,High,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_089,School Jakarta 89,Education,School,Jakarta,Cengkareng,-6.135119,106.756621,0.74,Medium,H3_JKT_019,Dummy OSM/POI proxy
POI_JKT_090,Housing Complex Jakarta 90,Residential,Housing Complex,Jakarta,Kembangan,-6.20337,106.740614,0.85,Medium,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_091,Housing Complex Jakarta 91,Residential,Housing Complex,Jakarta,Kebayoran Baru,-6.255013,106.806212,0.62,High,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_092,Public Service Office Jakarta 92,Public Service,Public Service Office,Jakarta,Cilandak,-6.306602,106.796526,0.55,High,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_093,Mall Jakarta 93,Commercial,Mall,Jakarta,Duren Sawit,-6.245506,106.92418,0.54,Medium,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_094,Terminal Jakarta 94,Transportation,Terminal,Jakarta,Duren Sawit,-6.256939,106.90394,0.68,High,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_095,Market Jakarta 95,Commercial,Market,Jakarta,Menteng,-6.200068,106.815586,0.73,High,H3_JKT_021,Dummy OSM/POI proxy
POI_JKT_096,Shop House Jakarta 96,Commercial,Shop House,Jakarta,Menteng,-6.198277,106.834401,0.36,Low,H3_JKT_023,Dummy OSM/POI proxy
POI_JKT_097,Market Jakarta 97,Commercial,Market,Jakarta,Cilandak,-6.282419,106.794991,0.84,Low,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_098,Station Jakarta 98,Transportation,Station,Jakarta,Kelapa Gading,-6.168722,106.872699,0.54,High,H3_JKT_010,Dummy OSM/POI proxy
POI_JKT_099,Office Center Jakarta 99,Commercial,Office Center,Jakarta,Pasar Minggu,-6.273387,106.861982,0.83,Low,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_100,Bus Stop Jakarta 100,Transportation,Bus Stop,Jakarta,Pasar Minggu,-6.297109,106.866865,0.87,Medium,H3_JKT_024,Dummy OSM/POI proxy
POI_JKT_101,Bus Stop Jakarta 101,Transportation,Bus Stop,Jakarta,Menteng,-6.214227,106.848537,0.98,Medium,H3_JKT_023,Dummy OSM/POI proxy
POI_JKT_102,Training Center Jakarta 102,Education,Training Center,Jakarta,Kembangan,-6.217137,106.720477,0.86,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_103,Pharmacy Jakarta 103,Health,Pharmacy,Jakarta,Cilandak,-6.29617,106.806006,0.84,High,H3_JKT_027,Dummy OSM/POI proxy
POI_JKT_104,Terminal Jakarta 104,Transportation,Terminal,Jakarta,Pasar Minggu,-6.293044,106.855274,0.47,High,H3_JKT_024,Dummy OSM/POI proxy
POI_JKT_105,Hospital Jakarta 105,Health,Hospital,Jakarta,Cilandak,-6.278745,106.79202,0.38,Medium,H3_JKT_003,Dummy OSM/POI proxy
POI_JKT_106,Hospital Jakarta 106,Health,Hospital,Jakarta,Kembangan,-6.221045,106.709806,0.56,High,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_107,School Jakarta 107,Education,School,Jakarta,Duren Sawit,-6.240767,106.912675,0.85,High,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_108,Parking Area Jakarta 108,Fuel & Mobility,Parking Area,Jakarta,Pasar Minggu,-6.299233,106.837281,0.58,High,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_109,Mall Jakarta 109,Commercial,Mall,Jakarta,Duren Sawit,-6.233248,106.914539,0.45,High,H3_JKT_011,Dummy OSM/POI proxy
POI_JKT_110,Shop House Jakarta 110,Commercial,Shop House,Jakarta,Kembangan,-6.216319,106.716213,0.57,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_111,Pharmacy Jakarta 111,Health,Pharmacy,Jakarta,Kelapa Gading,-6.193492,106.876622,0.89,High,H3_JKT_010,Dummy OSM/POI proxy
POI_JKT_112,University Jakarta 112,Education,University,Jakarta,Cilandak,-6.292747,106.80286,0.75,High,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_113,Housing Complex Jakarta 113,Residential,Housing Complex,Jakarta,Duren Sawit,-6.217665,106.91765,0.42,Medium,H3_JKT_008,Dummy OSM/POI proxy
POI_JKT_114,Government Office Jakarta 114,Public Service,Government Office,Jakarta,Kembangan,-6.207603,106.706229,0.59,High,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_115,Shop House Jakarta 115,Commercial,Shop House,Jakarta,Duren Sawit,-6.220181,106.91598,0.68,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_116,Apartment Jakarta 116,Residential,Apartment,Jakarta,Kelapa Gading,-6.161727,106.911038,0.76,Low,H3_JKT_006,Dummy OSM/POI proxy
POI_JKT_117,Station Jakarta 117,Transportation,Station,Jakarta,Menteng,-6.194229,106.832257,0.92,High,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_118,Market Jakarta 118,Commercial,Market,Jakarta,Pasar Minggu,-6.270025,106.84308,0.65,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_119,School Jakarta 119,Education,School,Jakarta,Pasar Minggu,-6.281046,106.858844,0.4,Low,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_120,Clinic Jakarta 120,Health,Clinic,Jakarta,Duren Sawit,-6.253878,106.918029,0.56,Medium,H3_JKT_030,Dummy OSM/POI proxy
POI_JKT_121,School Jakarta 121,Education,School,Jakarta,Pasar Minggu,-6.283523,106.809842,0.84,High,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_122,Government Office Jakarta 122,Public Service,Government Office,Jakarta,Pasar Minggu,-6.287486,106.860263,0.54,High,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_123,Bus Stop Jakarta 123,Transportation,Bus Stop,Jakarta,Kelapa Gading,-6.172999,106.87407,0.61,High,H3_JKT_010,Dummy OSM/POI proxy
POI_JKT_124,Mall Jakarta 124,Commercial,Mall,Jakarta,Cilandak,-6.276581,106.803022,0.87,High,H3_JKT_001,Dummy OSM/POI proxy
POI_JKT_125,Apartment Jakarta 125,Residential,Apartment,Jakarta,Kelapa Gading,-6.177342,106.89244,0.98,High,H3_JKT_010,Dummy OSM/POI proxy
POI_BDG_001,Market Bandung 1,Commercial,Market,Bandung,Cicendo,-6.9117,107.5784,0.43,Low,H3_BDG_021,Dummy OSM/POI proxy
POI_BDG_002,Market Bandung 2,Commercial,Market,Bandung,Buahbatu,-6.941714,107.665853,0.94,Medium,H3_BDG_019,Dummy OSM/POI proxy
POI_BDG_003,Mall Bandung 3,Commercial,Mall,Bandung,Gedebage,-6.928894,107.697467,0.89,Low,H3_BDG_007,Dummy OSM/POI proxy
POI_BDG_004,Pharmacy Bandung 4,Health,Pharmacy,Bandung,Cicendo,-6.903189,107.608649,0.96,High,H3_BDG_004,Dummy OSM/POI proxy
POI_BDG_005,Station Bandung 5,Transportation,Station,Bandung,Buahbatu,-6.949409,107.6424,0.41,High,H3_BDG_015,Dummy OSM/POI proxy
POI_BDG_006,Shop House Bandung 6,Commercial,Shop House,Bandung,Buahbatu,-6.943936,107.663468,0.5,Medium,H3_BDG_019,Dummy OSM/POI proxy
POI_BDG_007,School Bandung 7,Education,School,Bandung,Antapani,-6.911697,107.667159,0.75,Medium,H3_BDG_020,Dummy OSM/POI proxy
POI_BDG_008,Shop House Bandung 8,Commercial,Shop House,Bandung,Antapani,-6.90878,107.639339,0.46,Medium,H3_BDG_023,Dummy OSM/POI proxy
POI_BDG_009,Workshop Bandung 9,Fuel & Mobility,Workshop,Bandung,Cicendo,-6.898887,107.595624,0.9,Low,H3_BDG_008,Dummy OSM/POI proxy
POI_BDG_010,Public Service Office Bandung 10,Public Service,Public Service Office,Bandung,Gedebage,-6.946101,107.690363,0.55,High,H3_BDG_022,Dummy OSM/POI proxy
POI_BDG_011,Training Center Bandung 11,Education,Training Center,Bandung,Cicendo,-6.905971,107.620428,0.89,High,H3_BDG_004,Dummy OSM/POI proxy
POI_BDG_012,Pharmacy Bandung 12,Health,Pharmacy,Bandung,Gedebage,-6.929036,107.694973,0.36,High,H3_BDG_007,Dummy OSM/POI proxy
POI_BDG_013,Training Center Bandung 13,Education,Training Center,Bandung,Cicendo,-6.91353,107.576032,0.49,Low,H3_BDG_021,Dummy OSM/POI proxy
POI_BDG_014,Pharmacy Bandung 14,Health,Pharmacy,Bandung,Ujungberung,-6.928207,107.706994,0.59,Low,H3_BDG_018,Dummy OSM/POI proxy
POI_BDG_015,Workshop Bandung 15,Fuel & Mobility,Workshop,Bandung,Ujungberung,-6.890346,107.695765,0.68,Low,H3_BDG_029,Dummy OSM/POI proxy
POI_BDG_016,Market Bandung 16,Commercial,Market,Bandung,Ujungberung,-6.910628,107.676807,0.87,High,H3_BDG_013,Dummy OSM/POI proxy
POI_BDG_017,Training Center Bandung 17,Education,Training Center,Bandung,Gedebage,-6.938352,107.691783,0.72,High,H3_BDG_022,Dummy OSM/POI proxy
POI_BDG_018,Gas Station Bandung 18,Fuel & Mobility,Gas Station,Bandung,Gedebage,-6.941207,107.682185,0.58,Low,H3_BDG_022,Dummy OSM/POI proxy
POI_BDG_019,Market Bandung 19,Commercial,Market,Bandung,Gedebage,-6.978704,107.724689,0.78,High,H3_BDG_025,Dummy OSM/POI proxy
POI_BDG_020,Parking Area Bandung 20,Fuel & Mobility,Parking Area,Bandung,Coblong,-6.892233,107.627832,0.38,High,H3_BDG_030,Dummy OSM/POI proxy
